# time (s), x(cm), y(cm)
51.9,51.6,61.5
51.96,51.5,61.5
52.03,51.5,61.5
52.09,51.6,62
52.17,51.5,62.1
52.23,51.5,62.2
52.29,51.1,62
52.37,51.1,61.7
52.44,51.1,61.8
52.5,51.1,61.8
52.56,50.9,62
52.56,51,62.1
52.62,51,62.2
52.7,51,62.2
52.76,51.1,62.2
52.83,51.1,62.3
52.89,51,62.3
52.95,51,62.2
53.02,51.2,62.3
53.08,51.4,62.6
53.14,51.4,62.6
53.21,51.4,62.8
53.27,51.4,62.8
53.34,51.5,62.8
53.4,51.7,62.8
53.46,51.7,62.8
53.52,51.7,62.9
53.59,51.7,63
53.65,51.7,63.1
53.71,51.7,63.1
53.78,51.6,62.9
53.84,51.5,62.9
53.9,51.5,62.9
53.96,51.6,62.9
54.09,51.6,62.9
54.15,51.5,63
54.21,51.4,63.2
54.28,51.4,63.1
54.34,51.3,63
54.4,51.3,62.9
54.47,51.3,63
54.53,51.4,62.8
54.59,51.6,63
54.65,51.8,63
54.72,51.7,63.4
54.78,51.6,63.7
54.84,51.7,63.6
54.91,51.8,63.7
54.97,51.9,64
55.03,52,64.1
55.09,52.1,64.4
55.16,52.2,64.4
55.22,52.2,64.2
55.28,52,63.9
55.35,51.6,63.1
55.41,51.4,63.9
55.47,51.2,63.4
55.54,51.5,63.4
55.6,51.4,63.5
55.66,51.5,63.8
55.73,51.4,63.8
55.79,51.4,63.8
55.85,51.3,63.8
55.91,51.2,63.8
56.04,51.2,63.5
56.1,51.2,63.3
56.16,51.3,63.4
56.23,51.4,62.4
56.29,51.1,63.4
56.35,51.2,62.4
56.42,50.6,63.5
56.48,50.4,63.4
56.54,50.3,63.6
56.61,50.3,63.7
56.67,50.3,63.6
56.73,51.1,61.4
56.79,50.2,63.9
56.86,50.2,63.9
56.93,50.1,63.9
56.99,50.1,64.1
57.06,50.1,64.2
57.12,50.1,64.4
57.18,50.1,64.5
57.25,50.1,63
57.31,50.1,64.6
57.37,50,64.7
57.44,49.9,64.6
57.5,49.8,64.6
57.56,49.8,64.6
57.62,49.8,64.7
57.69,49.8,64.8
57.69,49.7,64.8
57.81,49.7,64.8
57.88,49.7,64.8
57.94,49.7,64.9
58,49.6,65.1
58.06,49.6,65.2
58.12,49.5,65.4
58.19,49.5,65.7
58.25,49.4,65.8
58.31,49.5,65.9
58.38,49.6,66.3
58.44,49.7,66.2
58.5,49.6,66.4
58.57,49.6,66.4
58.63,49.7,66.4
58.69,49.7,66.4
58.75,49.7,66.3
58.82,49.7,66.4
